DiseaseName,ChemicalID,ChemicalName,actual_label
Asthma,C000610679,bufei jianpi,0
Asthma,C000623021,3-(pyridin-3-ylsulfonyl)-5-(trifluoromethyl)-2H-chromen-2-one,0
Asthma,C000626046,RU.521,0
Asthma,C000630836,LGM2605,1
Asthma,C001899,triptolide,0
Asthma,C002003,bentazone,0
Asthma,C003237,proxyphylline,0
Asthma,C003330,trospium chloride,0
Asthma,C004600,bufotalin,0
Asthma,C005274,naringin,0
Asthma,C005969,"4,4'-diphenylmethane diisocyanate",1
Asthma,C006780,bisphenol A,1
Asthma,C007734,flunisolide,1
Asthma,C007836,geraniol,1
Asthma,C008450,7-methylguanine,1
Asthma,C008514,methylxanthine,1
Asthma,C009495,titanium dioxide,0
Asthma,C010809,tulobuterol,1
Asthma,C011674,bacampicillin,0
Asthma,C011685,bitolterol,1
Asthma,C011765,troclosene,0
Asthma,C012037,solasodine,1
Asthma,C012260,cyclocreatine,0
Asthma,C012293,tranilast,1
Asthma,C012655,nimesulide,0
Asthma,C015001,arsenite,0
Asthma,C015262,"1,6-hexamethylene diisocyanate",1
Asthma,C015559,trimellitic anhydride,1
Asthma,C017590,oxitropium,1
Asthma,C018511,4-dichlorobenzene,1
Asthma,C021183,"1,7-dimethylxanthine",0
Asthma,C022944,gossypin,0
Asthma,C023616,zinc chromate,0
Asthma,C023617,"pregna-4,17-diene-3,16-dione",0
Asthma,C023898,butylate,1
Asthma,C024070,pycnogenols,1
Asthma,C024746,tobacco tar,0
Asthma,C025256,nonylphenol,0
Asthma,C025759,saikosaponin D,0
Asthma,C027118,didecyldimethylammonium,0
Asthma,C027561,butylbenzyl phthalate,1
Asthma,C027576,4-hydroxy-2-nonenal,0
Asthma,C028007,nickel monoxide,0
Asthma,C028305,syringin,1
Asthma,C029536,2-oxothiazolidine-4-carboxylic acid,0
Asthma,C029797,doxofylline,1
Asthma,C029938,nickel sulfate,0
Asthma,C030583,ceric oxide,0
Asthma,C030809,"fenoterol, ipratropium drug combination",0
Asthma,C030856,pendimethalin,1
Asthma,C030973,cupric oxide,0
Asthma,C030984,pyrene,1
Asthma,C031180,chrysene,0
Asthma,C031181,phenanthrene,1
Asthma,C031278,2-chloroethyl ethyl sulfide,0
Asthma,C031818,"enterotoxin B, staphylococcal",0
Asthma,C032742,triclopyr,0
Asthma,C033146,1-hydroxypyrene,1
Asthma,C034206,Ribomunyl,1
Asthma,C034347,enprofylline,1
Asthma,C034587,CHOP protocol,0
