ChemicalName,KEGG_ID,Disease,shared_pathways,jaccard,link_type
Cyclic AMP,C00575,Asthma,82,0.3942,known
Nitric Oxide,C00533,Asthma,39,0.1875,known
Adenosine,C00002,Asthma,29,0.1394,known
Carbon,C00011,Asthma,20,0.0962,known
Norepinephrine,C00547,Asthma,17,0.0817,known
"1,6-hexamethylene diisocyanate",C00001,Asthma,16,0.0769,known
Acetylcholine,C01996,Asthma,16,0.0769,known
Acetaldehyde,C00084,Asthma,14,0.0673,known
"Cholesterol, Dietary",C00187,Asthma,11,0.0507,novel_candidate
Histamine,C00388,Asthma,10,0.0481,known
Oxygen,C00007,Asthma,10,0.0478,novel_candidate
"phosphatidylinositol 3,4-diphosphate",C01194,Asthma,10,0.0481,known
Hydrocortisone,C00735,Asthma,9,0.0433,known
Glutathione,C00051,Asthma,8,0.0385,known
Leukotriene B4,C02165,Asthma,7,0.0337,known
Salicylic Acid,C00805,Asthma,7,0.0337,known
Tretinoin,C00777,Asthma,7,0.0337,known
"lipopolysaccharide, Escherichia coli O111 B4",C00338,Asthma,7,0.0326,novel_candidate
Leukotriene C4,C02166,Asthma,6,0.0288,known
Nicotine,C00745,Asthma,5,0.0239,novel_candidate
Vitamin A,C00072,Asthma,5,0.024,known
pyrene,C07535,Asthma,5,0.024,known
"4,4'-diphenylmethane diisocyanate",C00004,Asthma,4,0.0192,known
Carbon Monoxide,C00237,Asthma,4,0.0192,known
Leukotriene D4,C05951,Asthma,4,0.0192,known
Manganese,C00034,Asthma,4,0.0192,novel_candidate
Taurine,C00245,Asthma,4,0.0191,novel_candidate
Tetrachlorodibenzodioxin,C07557,Asthma,4,0.0192,novel_candidate
Zinc Sulfate,C00038,Asthma,4,0.0192,known
"3-(2,4-diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol",C00398,Asthma,3,0.0144,known
Betaine,C00318,Asthma,3,0.0144,novel_candidate
DDT,C04623,Asthma,3,0.0144,known
Hydrogen Sulfide,C00283,Asthma,3,0.0144,known
nickel sulfate,C00291,Asthma,3,0.0144,novel_candidate
Platelet Activating Factor,C04598,Asthma,3,0.0144,known
Resveratrol,C03582,Asthma,3,0.0144,known
ceric oxide,C00258,Asthma,3,0.0143,novel_candidate
geraniol,C01500,Asthma,3,0.0144,known
4-hydroxy-2-nonenal,C21642,Asthma,2,0.0096,novel_candidate
Acrolein,C01471,Asthma,2,0.0096,novel_candidate
Capsaicin,C06866,Asthma,2,0.0096,novel_candidate
Eucalyptol,C09844,Asthma,2,0.0096,novel_candidate
Formaldehyde,C00067,Asthma,2,0.0096,known
Heparin,C00374,Asthma,2,0.0096,known
Methotrexate,C01937,Asthma,2,0.0096,known
Niacin,C00153,Asthma,2,0.0096,novel_candidate
