KEGG_ID,ChemicalName
C00001,"1,6-hexamethylene diisocyanate"
C13747,"1,7-dimethylxanthine"
C14519,1-hydroxypyrene
C19457,1-methylphenanthrene
C03664,"2,4-Dichlorophenoxyacetic Acid"
C00398,"3-(2,4-diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol"
C00004,"4,4'-diphenylmethane diisocyanate"
C07092,4-dichlorobenzene
C21642,4-hydroxy-2-nonenal
C02242,7-methylguanine
C13809,8-epi-prostaglandin F2alpha
C00084,Acetaldehyde
C06804,Acetaminophen
C06805,Acetazolamide
C01996,Acetylcholine
C01471,Acrolein
C00002,Adenosine
C11770,Albuterol
C11015,Aldicarb
C13391,aluminum oxide hydroxide
C11694,Amides
C06820,Amikacin
C06823,Amiodarone
C06573,Amphotericin B
C06574,Ampicillin
C07638,Antimony
C01460,Apigenin
C01478,Arsenic
C13619,Arsenic Trioxide
C16442,"Asbestos, Serpentine"
C01405,Aspirin
C06832,Astemizole
C06551,Atrazine
C06838,Azithromycin
C06842,Beclomethasone
C00318,Betaine
C01895,Bleomycin
C06862,Busulfan
C14693,Butylated Hydroxytoluene
C01413,Cadmium
C15233,Cadmium Chloride
C07481,Caffeine
C13194,Calcium Sulfate
C06866,Capsaicin
C00145,Captan
C07491,Carbaryl
C06869,Carbenicillin
C07615,Carbimazole
C00011,Carbon
C19033,Carbon Disulfide
C00237,Carbon Monoxide
C07561,Carbon Tetrachloride
C06873,Carmustine
C06881,Cefixime
C06885,Cefotaxime
C08115,Cefpodoxime Proxetil
C06889,Ceftazidime
C06683,Ceftriaxone
C06894,Cefuroxime
C07761,Cephalothin
C07778,Cetirizine
C00918,Chloramphenicol
C14176,Chlordan
C14322,Chlorpyrifos
C00187,"Cholesterol, Dietary"
C05349,Ofloxacin
C06911,Cisplatin
C06912,Clarithromycin
C08400,Coal
C00175,Cobalt
C01416,Cocaine
C18713,Copper Sulfate
C11025,Coumaphos
C00791,Creatinine
C06928,Cromolyn Sodium
C00575,Cyclic AMP
C01066,Cyclohexane
C06933,Cyclophosphamide
C02961,Cytarabine
C04623,DDT
C06770,Dactinomycin
C06939,Dantrolene
C07666,Dapsone
C01907,Daunorubicin
C06943,Desipramine
C08174,Dexamethasone
C06947,Dextromethorphan
C00741,Diacetyl
C14324,Diazinon
C18597,Dicamba
C01691,Diflunisal
C14326,Dimethoate
C13229,Dipyrone
C11231,Docetaxel
C06973,Doxycycline
C06972,Dronabinol
C11081,EPTC
C10294,Emodin
C06977,Enalapril
C06979,Enoxacin
C01575,Ephedrine
C00547,Norepinephrine
C01912,Erythromycin
C09264,Esculin
C11088,Ethylene Dibromide
C06991,Etodolac
C01576,Etoposide
C09844,Eucalyptol
C01126,Farnesol
C13179,Fleroxacin
C07815,Fluticasone
C00067,Formaldehyde
C07805,Formoterol Fumarate
C07650,Gemcitabine
C00051,Glutathione
C01705,Glyphosate
C07515,Halothane
C00374,Heparin
C14185,Heptachlor
C06534,Heroin
C06988,Hexachlorocyclohexane
C11205,Hexadimethrine Bromide
C00388,Histamine
C00518,Hyaluronic Acid
C00735,Hydrocortisone
C00283,Hydrogen Sulfide
C07044,Hydroxyurea
C01588,Ibuprofen
C07047,Ifosfamide
C01926,Indomethacin
C07052,Ipratropium
C00023,Iron
C07056,Isoproterenol
C07464,Ketanserin
C01716,Ketoprofen
C02165,Leukotriene B4
C02166,Leukotriene C4
C05951,Leukotriene D4
C08146,Linezolid
C07079,Lomustine
C07497,Malathion
C00034,Manganese
C07115,Mechlorethamine
C00703,Mercury
C07144,Metaproterenol
C07471,Methacholine Chloride
C11196,Methomyl
C01937,Methotrexate
C08179,Methylprednisolone
C07868,Metoclopramide
C07221,Mezlocillin
C15819,Micafungin
C07225,Minocycline
C07817,Mometasone Furoate
C07663,Moxifloxacin
C19164,Mustard Gas
C07255,Nedocromil
C00153,Niacin
C07264,Nicardipine
C00291,nickel sulfate
C00745,Nicotine
C07266,Nifedipine
C00533,Nitric Oxide
C00007,Oxygen
C07363,Oxymetazoline
C14694,Ozone
C07394,Paclitaxel
C00225,Paraquat
C06604,Parathion
C05551,Penicillin G
C10984,Permethrin
C07591,Phenacetin
C07434,Phenobarbital
C18690,Phorate
C14310,Picloram
C07361,Piperacillin
C01608,Piroxicam
C04598,Platelet Activating Factor
C07369,Prednisolone
C07370,Prednisone
C13235,Procaterol
C07407,Propranolol
C16459,Quartz
C00389,Quercetin
C03582,Resveratrol
C07937,Riluzole
C00805,Salicylic Acid
C07241,Salmeterol Xinafoate
C07259,Sildenafil Citrate
C06710,Silver Nitrate
C11172,Simazine
C21581,Simvastatin
C07909,Sirolimus
C07587,Sodium Salicylate
C05684,Sodium Selenite
C00413,Streptomycin
C07313,Streptozocin
C02083,Styrene
C07316,Sulfasalazine
C09306,Sulfur Dioxide
C01869,Synephrine
C07574,Tartrazine
C00245,Taurine
C07129,Terbutaline
C07463,Terfenadine
C07557,Tetrachlorodibenzodioxin
C02811,Tetracycline
C07130,"theophylline, salbutamol drug combination"
C07141,Timolol
C00397,Tobramycin
C00727,"Toluene 2,4-Diisocyanate"
C00777,Tretinoin
C08183,Triamcinolone Acetonide
C12059,Triclosan
C14343,Trifluralin
C01965,"Trimethoprim, Sulfamethoxazole Drug Combination"
C00753,Tungsten
C07880,Ursodeoxycholic Acid
C06267,Vanadium
C06689,Vancomycin
C07187,Venlafaxine Hydrochloride
C07188,Verapamil
C07201,Vinblastine
C07204,Vincristine
C00072,Vitamin A
C07622,Voriconazole
C01541,Warfarin
C00038,Zinc Sulfate
C12570,Zinc Oxide
C11380,acetovanillone
C15850,angiotensin I (1-7)
C06697,arsenite
C08122,bacampicillin
C10965,bentazone
C09664,beta-eudesmol
C10269,bisphenol A
C06853,bitolterol
C16839,brevetoxin
C16923,bufotalin
C14323,butylate
C14211,butylbenzyl phthalate
C00258,ceric oxide
C14222,chrysene
C19171,cobalt oxide
C22424,cupric oxide
C15436,didecyldimethylammonium
C09731,epigallocatechin gallate
C06999,fexofenadine
C07005,flunisolide
C02483,gamma-Tocopherol
C01500,geraniol
C10051,gossypin
C00338,"lipopolysaccharide, Escherichia coli O111 B4"
C07482,montelukast
C09789,naringin
C14550,nonylphenol
C11019,pendimethalin
C18142,perfluorooctane sulfonic acid
C03164,phenanthrene
C01194,"phosphatidylinositol 3,4-diphosphate"
C19125,phthalic anhydride
C04084,"pregna-4,17-diene-3,16-dione"
C07535,pyrene
C08034,quinupristin-dalfopristin
C08975,saikosaponin D
C10822,solasodine
C01533,syringin
C13409,titanium dioxide
C11032,triclopyr
C09204,triptolide
C12798,tulobuterol
C11213,valspodar
C19308,vanadium pentoxide
C11239,verlukast
C10113,wogonin
C07206,zafirlukast
