ChemicalID,ChemicalName,CasRN,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
C015262,"1,6-hexamethylene diisocyanate",822-06-0,13192,168.19,3.2,58.9,0,4,7,12,169.0
C033146,1-hydroxypyrene,5315-79-7,21387,218.25,4.6,20.2,1,1,0,17,300.0
C041507,1-methylphenanthrene,832-69-9,13257,192.25,5.1,0.0,0,0,0,15,220.0
D015084,"2,4-Dichlorophenoxyacetic Acid",94-75-7,1486,221.03,2.8,46.5,1,3,3,13,186.0
C539252,"3-(2,4-diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol",,10427712,346.3,1.7,144.0,4,8,2,26,483.0
C005969,"4,4'-diphenylmethane diisocyanate",,7570,250.25,5.4,58.9,0,4,4,19,332.0
C018511,4-dichlorobenzene,106-46-7,4685,147.0,3.4,0.0,0,0,0,8,54.9
C008450,7-methylguanine,578-76-7,135398679,165.15,-1.1,85.3,2,3,0,12,250.0
C075750,8-epi-prostaglandin F2alpha,27415-26-5,5282263,354.5,2.7,98.0,4,5,12,25,432.0
D000079,Acetaldehyde,75-07-0,177,44.05,-0.3,17.1,0,1,0,3,10.3
D000082,Acetaminophen,103-90-2,1983,151.16,0.5,49.3,2,2,1,11,139.0
D000109,Acetylcholine,51-84-3,187,146.21,0.2,26.3,0,2,4,10,115.0
D000241,Adenosine,58-61-7,60961,267.24,-1.1,140.0,4,8,2,19,335.0
D000420,Albuterol,18559-94-9,2083,239.31,0.3,72.7,4,4,5,17,227.0
D000448,Aldicarb,0116-06-03,9570071,190.27,1.1,76.0,1,4,4,12,180.0
D000536,Aluminum Hydroxide,21645-51-2,6328211,81.028,,3.0,3,3,0,4,3.2
C077110,ambroxol-theophylline-7-acetate,,176595,616.3,,154.0,4,8,5,35,645.0
D000628,Aminophylline,317-34-0,9433,420.43,,191.0,4,8,1,30,273.0
C094049,apaflurane,431-89-0,67940,170.03,2.9,0.0,0,7,0,10,93.0
D001151,Arsenic,7440-38-2,5359596,74.92159,,0.0,0,0,0,1,0.0
D000077237,Arsenic Trioxide,1327-53-3,14888,197.841,,3.0,0,3,0,5,0.0
D000077332,Artesunate,,6917864,384.4,2.5,101.0,1,8,5,27,623.0
D001241,Aspirin,50-78-2,2244,180.16,1.2,63.6,1,4,3,13,212.0
C047766,bambuterol,81732-65-2,54766,367.4,1.2,91.3,2,6,8,26,446.0
D001507,Beclomethasone,4419-39-0,20469,408.9,2.2,94.8,3,5,2,28,805.0
D001564,Benzo(a)pyrene,50-32-8,2336,252.3,6.0,0.0,0,0,0,20,372.0
D001572,Benzofurans,,253613,270.3,5.6,13.1,0,1,2,21,327.0
D047071,beta-Glucans,,439262,504.4,-6.9,269.0,11,16,7,34,641.0
C006780,bisphenol A,80-05-7,6623,228.29,3.3,40.5,2,2,2,17,209.0
C512161,bisphenol A glucuronide,,71309820,404.4,2.5,137.0,5,8,5,29,551.0
C011685,bitolterol,30392-40-6,35330,461.5,5.2,84.9,2,6,10,34,658.0
C053342,brevetoxin,98225-48-0,56841987,853.0,5.1,147.0,1,13,3,61,1670.0
D019819,Budesonide,51333-22-3,5281004,430.5,2.5,93.1,2,6,4,31,862.0
C023898,butylate,2008-41-5,16181,217.37,4.2,45.6,0,2,6,14,159.0
C027561,butylbenzyl phthalate,85-68-7,2347,312.4,4.9,52.6,0,4,9,23,374.0
D002104,Cadmium,7440-43-9,23973,112.41,,0.0,0,0,0,1,0.0
D002215,Captan,0133-06-02,8606,300.6,2.4,62.7,0,3,1,16,340.0
D002219,Carbamates,,276,60.032,-0.1,66.2,1,2,0,4,27.5
D012721,Carbaryl,63-25-2,6129,201.22,2.4,38.3,1,2,2,15,230.0
D002231,Carbimazole,22232-54-8,31072,186.23,0.7,64.9,0,3,2,12,240.0
D002244,Carbon,7440-44-0,297,16.043,0.6,0.0,0,0,0,1,0.0
D002246,Carbon Disulfide,75-15-0,6348,76.15,2.1,64.2,0,2,0,3,18.3
D002248,Carbon Monoxide,630-08-0,281,28.01,0.7,1.0,0,1,0,2,10.0
D002251,Carbon Tetrachloride,56-23-5,5943,153.8,2.8,0.0,0,0,0,5,19.1
D002706,Chlordan,12789-03-06,11954021,409.8,4.9,0.0,0,0,0,18,459.0
D002840,Chromates,,24461,115.994,,80.3,0,4,0,5,62.2
C433247,Cilomilast,,151170,343.4,3.4,79.6,1,5,5,25,511.0
D003042,Cocaine,50-36-2,446220,303.35,2.3,55.8,0,5,5,22,432.0
D003042,Cocaine,50-36-2,446220,303.35,2.3,55.8,0,5,5,22,432.0
D003372,Coumaphos,56-72-4,2871,362.8,4.5,86.1,0,6,6,22,499.0
D004205,Cromolyn Sodium,15826-37-6,27503,512.3,,172.0,1,11,6,36,824.0
D000242,Cyclic AMP,60-92-4,6076,329.21,-2.6,155.0,3,10,1,22,498.0
D003634,DDT,50-29-3,3036,354.5,6.9,0.0,0,0,2,19,250.0
D000077209,Decitabine,2353-33-5,451668,228.21,-1.2,121.0,3,4,2,16,356.0
D003907,Dexamethasone,50-02-2,5743,392.5,1.9,94.8,3,6,2,28,805.0
D003915,Dextromethorphan,125-71-3,5360696,271.4,3.4,12.5,0,2,1,20,370.0
D003976,Diazinon,333-41-5,3017,304.35,3.8,85.6,0,6,7,19,307.0
D004139,Dinitrofluorobenzene,70-34-8,6264,186.1,1.6,91.6,0,5,0,13,224.0
