DiseaseName,# ChemicalName,ChemicalID,CasRN,DirectEvidence,PubMedIDs
Asthma,"1,6-hexamethylene diisocyanate",C015262,822-06-0,marker/mechanism,10934080
Asthma,1-hydroxypyrene,C033146,5315-79-7,marker/mechanism,33972693
Asthma,1-methylphenanthrene,C041507,832-69-9,marker/mechanism,24407477
Asthma,"2,4-Dichlorophenoxyacetic Acid",D015084,94-75-7,marker/mechanism,17932376
Asthma,"3-(2,4-diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol",C539252,,therapeutic,19056934
Asthma,"4,4'-diphenylmethane diisocyanate",C005969,,marker/mechanism,10797510|10934080|11077012|15891530|6091945|8156442
Asthma,4-dichlorobenzene,C018511,106-46-7,marker/mechanism,33785322
Asthma,7-methylguanine,C008450,578-76-7,marker/mechanism,33972693
Asthma,8-epi-prostaglandin F2alpha,C075750,27415-26-5,marker/mechanism,22986054
Asthma,Acetaldehyde,D000079,75-07-0,marker/mechanism,9600491
Asthma,Acetaminophen,D000082,103-90-2,marker/mechanism,15942102
Asthma,Acetylcholine,D000109,51-84-3,marker/mechanism,34774659
Asthma,Adenosine,D000241,58-61-7,therapeutic,3609189
Asthma,Adrenal Cortex Hormones,D000305,,therapeutic,10069892|10359889|10461081|10934090|10967152|12070353|17872493|19681236|9878995
Asthma,Adrenergic beta-Agonists,D000318,,therapeutic,2563215|7915431
Asthma,Aerosols,D000336,,marker/mechanism,19654919
Asthma,Air Pollutants,D000393,,marker/mechanism,15226151|18629323|19620729|19781087|20123607|21513554|21995638|22370087|24117884|25012280|25491235|27043549|32816747|37162236
Asthma,"Air Pollutants, Occupational",D000395,,marker/mechanism,8687243
Asthma,Albuterol,D000420,18559-94-9,therapeutic,10023788|10480584|11142280|11729705|11991558|12027070|12355682|12734767|12972899|1572199|17380691|17700005|18023335|18225795|18717146|19329721|19363516|1978102|22607479|2693116|2782734|2849969|2936370|2974263|3109801|3223643|3537092|3898925|3968329|4067618|4430301|4921234|6435488|6811006|7117428|7437783|7893301|7982368|81404|8417883|8681661|8968295|9428298|9616533|9707465|9949315
Asthma,Aldicarb,D000448,0116-06-03,marker/mechanism,23670403
Asthma,Allergens,D000485,,marker/mechanism,18391481|19337513|33474794
Asthma,Aluminum Hydroxide,D000536,21645-51-2,marker/mechanism,34774659|35481609
Asthma,ambroxol-theophylline-7-acetate,C077110,,therapeutic,17455344
Asthma,Amides,D000577,,marker/mechanism,9236499
Asthma,Aminophylline,D000628,317-34-0,therapeutic,1424400|15645133|1572199|17130682|2658694|3898925|4047061|4430301|6343341
Asthma,Anti-Asthmatic Agents,D018927,,therapeutic,16425660
Asthma,"Antigens, Bacterial",D000942,,marker/mechanism,18391481|29067999
Asthma,"Antigens, Dermatophagoides",D039741,,marker/mechanism,29067999|29792201|31751647|33170220|36610671
Asthma,"Anti-Inflammatory Agents, Non-Steroidal",D000894,,marker/mechanism,11476468
Asthma,apaflurane,C094049,431-89-0,therapeutic,22221427
Asthma,Arsenic,D001151,7440-38-2,marker/mechanism,24062297
Asthma,Arsenic Trioxide,D000077237,1327-53-3,therapeutic,23210436
Asthma,Artesunate,D000077332,,therapeutic,26340163
Asthma,Aspirin,D001241,50-78-2,marker/mechanism,1751016|3539408
Asthma,bambuterol,C047766,81732-65-2,therapeutic,8112441
Asthma,Beclomethasone,D001507,4419-39-0,therapeutic,10075616|10322818|10347961|10513351|10588598|10639760|10764315|10813552|10983617|11379808|11379810|11393418|11422148|11449530|11527250|11555383|11559968|11758890|11980116|12114351|12153692|12166584|12360108|12449158|12449667|12464949|12489251|12587966|1443864|15025036|16270722|16509916|16973987|17564282|17872493|18430318|21762500|22221427|22357130|23512537|2844548|6958474|7148765|7312482|7437783|7540862|8111605|81404|8534483|8694041|8762487|8874658|9203805|9385125|9657561|9700034
Asthma,Benzo(a)pyrene,D001564,50-32-8,marker/mechanism,28807506
Asthma,Benzofurans,D001572,,therapeutic,30696844
Asthma,beta-Glucans,D047071,,marker/mechanism,24905346
Asthma,bisphenol A,C006780,80-05-7,marker/mechanism,31906378
Asthma,bisphenol A glucuronide,C512161,,marker/mechanism,29411558
Asthma,bitolterol,C011685,30392-40-6,therapeutic,3968329
Asthma,brevetoxin,C053342,98225-48-0,marker/mechanism,19654919
Asthma,Bronchodilator Agents,D001993,,therapeutic,10069892|7443604
Asthma,Budesonide,D019819,51333-22-3,therapeutic,10347961|10400838|10806605|10893010|10894975|11555383|11694816|12113382|12604023|14641354|15136378|15341026|15572850|18489783|20004779|22607479|6958474|9701427
Asthma,butylate,C023898,2008-41-5,marker/mechanism,23670403
Asthma,butylbenzyl phthalate,C027561,85-68-7,marker/mechanism,28392331
Asthma,Cadmium,D002104,7440-43-9,marker/mechanism,30998937
Asthma,Captan,D002215,0133-06-02,marker/mechanism,19541724
Asthma,Carbamates,D002219,,marker/mechanism,17932376
Asthma,Carbaryl,D012721,63-25-2,marker/mechanism,17932376
Asthma,Carbimazole,D002231,22232-54-8,therapeutic,3968675
Asthma,Carbon,D002244,7440-44-0,marker/mechanism,37162236
Asthma,Carbon Disulfide,D002246,75-15-0,marker/mechanism,19541724
Asthma,Carbon Monoxide,D002248,630-08-0,marker/mechanism,20123607
Asthma,Carbon Tetrachloride,D002251,56-23-5,marker/mechanism,19541724
Asthma,Chlordan,D002706,12789-03-06,marker/mechanism,19541724
Asthma,Chromates,D002840,,marker/mechanism,8687243
Asthma,Cilomilast,C433247,,therapeutic,16956605
Asthma,Cocaine,D003042,50-36-2,marker/mechanism,10425061|12218880
Asthma,Coloring Agents,D004396,,marker/mechanism,18403863
Asthma,"Contraceptives, Oral",D003276,,marker/mechanism,25250096
Asthma,Coumaphos,D003372,56-72-4,marker/mechanism,17932376|19541724
Asthma,Cromolyn Sodium,D004205,15826-37-6,therapeutic,7437783
Asthma,curdlan,C038459,54724-00-4,marker/mechanism,23543010
Asthma,Cyclic AMP,D000242,60-92-4,therapeutic,6327346
Asthma,cysteinyl-leukotriene,C112381,,marker/mechanism,1673495
Asthma,DDT,D003634,50-29-3,marker/mechanism,17932376|19541724
Asthma,Decitabine,D000077209,2353-33-5,therapeutic,23423710
Asthma,Dexamethasone,D003907,50-02-2,marker/mechanism,16740865
Asthma,Dexamethasone,D003907,50-02-2,therapeutic,15330010|16569937|23210436|31751647
Asthma,Dextromethorphan,D003915,125-71-3,marker/mechanism,6375709
Asthma,Diazinon,D003976,333-41-5,marker/mechanism,19541724
Asthma,Dietary Fats,D004041,,marker/mechanism,36547818
Asthma,Dinitrofluorobenzene,D004139,70-34-8,marker/mechanism,27216000
Asthma,doqualast,C051309,64019-03-0,therapeutic,2434109
Asthma,doxofylline,C029797,69975-86-6,therapeutic,11951074
Asthma,"Drugs, Chinese Herbal",D004365,,therapeutic,10322818|11783231|16981460|19363516|31751647
Asthma,Dust,D004391,,marker/mechanism,17578863|19337513|27518660
Asthma,Emodin,D004642,518-82-1,therapeutic,22484343
Asthma,Endotoxins,D004731,,marker/mechanism,27518660|32212084
Asthma,enprofylline,C034347,41078-02-08,therapeutic,3523664|3582466|6386511
Asthma,Ephedrine,D004809,299-42-3,therapeutic,208429
Asthma,epigallocatechin gallate,C045651,989-51-5,therapeutic,16516891
Asthma,Epinephrine,D004837,51-43-4,therapeutic,1572199|16713785|17087335|6435488|6787217|7211775|7235434
Asthma,EPTC,C036251,759-94-4,marker/mechanism,19541724
Asthma,Ethylene Dibromide,D015946,106-93-4,marker/mechanism,19541724
Asthma,Fenoterol,D005280,13392-18-2,therapeutic,2951826|6248395|8968295
Asthma,Fleroxacin,D016576,79660-72-3,marker/mechanism,9145823
Asthma,flunisolide,C007734,,therapeutic,16696591
Asthma,Fluticasone,D000068298,,therapeutic,11101185|11379810|11555383|11559968|11596838|11991558|22607479|23548184|9700034
Asthma,Fluticasone-Salmeterol Drug Combination,D000068297,,therapeutic,17654129
Asthma,Food Coloring Agents,D005505,,marker/mechanism,2736427
Asthma,Food Preservatives,D005520,,marker/mechanism,2736427
Asthma,Formaldehyde,D005557,50-00-0,marker/mechanism,11519088|12212974|17002712|17594875|23671638
Asthma,Formoterol Fumarate,D000068759,,therapeutic,10967152|12113382|1443864|18023335|21762500|22221427|22357130|22607479|9759798
Asthma,FPS-ZM1,C572629,,therapeutic,33075463
Asthma,FR 173657,C105311,,therapeutic,12706475
Asthma,"Fungicides, Industrial",D005659,,marker/mechanism,17932376
Asthma,gamma-Tocopherol,D024504,,therapeutic,17854713
Asthma,geraniol,C007836,624-15-7,therapeutic,27117312
Asthma,Glucocorticoids,D005938,,therapeutic,11344349|14641354|3058451
Asthma,Glutathione,D005978,70-18-8,marker/mechanism,22867017
Asthma,Glycopyrrolate,D006024,596-51-0,therapeutic,3392363
Asthma,Glyphosate,D000097797,,marker/mechanism,17932376
Asthma,Guaifenesin,D006140,93-14-1,therapeutic,16197601
Asthma,Halothane,D006221,151-67-7,therapeutic,11782125
Asthma,Heparin,D006493,9005-49-6,therapeutic,19467809|9235556
Asthma,Heptachlor,D006533,76-44-8,marker/mechanism,19541724
Asthma,Herbicides,D006540,,marker/mechanism,15121522|19541724
Asthma,Heroin,D003932,,marker/mechanism,12576374
Asthma,Hexachlorocyclohexane,D001556,,marker/mechanism,19541724
Asthma,Histamine,D006632,51-45-6,marker/mechanism,16344897|16387687|19363516
Asthma,"Hydrocarbons, Chlorinated",D006843,,marker/mechanism,17932376
Asthma,Hydrocortisone,D006854,50-23-7,therapeutic,15090754|3750249
Asthma,Hydrogen Sulfide,D006862,########,marker/mechanism,22357138
Asthma,Ibuprofen,D007052,15687-27-1,marker/mechanism,7550206
Asthma,Ipratropium,D009241,60205-81-4,therapeutic,11142280|12355682|18225795|2527421|2936370|2947461|2951826
Asthma,Isoproterenol,D007545,7683-59-2,therapeutic,1572199|2878599|4921234|6435488
Asthma,Ketoprofen,D007660,22071-15-4,marker/mechanism,11300144
Asthma,Ketotifen,D007665,34580-13-7,therapeutic,1479763
Asthma,Lansoprazole,D064747,,therapeutic,16778364
Asthma,Leukotriene Antagonists,D020024,,therapeutic,10922144|19195196
Asthma,Leukotriene B4,D007975,71160-24-2,marker/mechanism,11006272|19667530
Asthma,Leukotriene C4,D017997,72025-60-6,marker/mechanism,12816731
