# ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,PubMedIDs
ASTHMA(223 compounds),,,,,,
"1,6-hexamethylene diisocyanate",C015262,822-06-0,Asthma,MESH:D001249,marker/mechanism,10934080
1-hydroxypyrene,C033146,5315-79-7,Asthma,MESH:D001249,marker/mechanism,33972693
1-methylphenanthrene,C041507,832-69-9,Asthma,MESH:D001249,marker/mechanism,24407477
"2,4-Dichlorophenoxyacetic Acid",D015084,94-75-7,Asthma,MESH:D001249,marker/mechanism,17932376
"3-(2,4-diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol",C539252,,Asthma,MESH:D001249,therapeutic,19056934
"4,4'-diphenylmethane diisocyanate",C005969,,Asthma,MESH:D001249,marker/mechanism,10797510|10934080|11077012|15891530|6091945|8156442
4-dichlorobenzene,C018511,106-46-7,Asthma,MESH:D001249,marker/mechanism,33785322
7-methylguanine,C008450,578-76-7,Asthma,MESH:D001249,marker/mechanism,33972693
8-epi-prostaglandin F2alpha,C075750,27415-26-5,Asthma,MESH:D001249,marker/mechanism,22986054
Acetaldehyde,D000079,75-07-0,Asthma,MESH:D001249,marker/mechanism,9600491
Acetaminophen,D000082,103-90-2,Asthma,MESH:D001249,marker/mechanism,15942102
Acetylcholine,D000109,51-84-3,Asthma,MESH:D001249,marker/mechanism,34774659
Adenosine,D000241,58-61-7,Asthma,MESH:D001249,therapeutic,3609189
Adrenal Cortex Hormones,D000305,,Asthma,MESH:D001249,therapeutic,10069892|10359889|10461081|10934090|10967152|12070353|17872493|19681236|9878995
Adrenergic beta-Agonists,D000318,,Asthma,MESH:D001249,therapeutic,2563215|7915431
Aerosols,D000336,,Asthma,MESH:D001249,marker/mechanism,19654919
Air Pollutants,D000393,,Asthma,MESH:D001249,marker/mechanism,15226151|18629323|19620729|19781087|20123607|21513554|21995638|22370087|24117884|25012280|25491235|27043549|32816747|37162236
"Air Pollutants, Occupational",D000395,,Asthma,MESH:D001249,marker/mechanism,8687243
Albuterol,D000420,18559-94-9,Asthma,MESH:D001249,therapeutic,10023788|10480584|11142280|11729705|11991558|12027070|12355682|12734767|12972899|1572199|17380691|17700005|18023335|18225795|18717146|19329721|19363516|1978102|22607479|2693116|2782734|2849969|2936370|2974263|3109801|3223643|3537092|3898925|3968329|4067618|4430301|4921234|6435488|6811006|7117428|7437783|7893301|7982368|81404|8417883|8681661|8968295|9428298|9616533|9707465|9949315
Aldicarb,D000448,116-06-3,Asthma,MESH:D001249,marker/mechanism,23670403
Allergens,D000485,,Asthma,MESH:D001249,marker/mechanism,18391481|19337513|33474794
Aluminum Hydroxide,D000536,21645-51-2,Asthma,MESH:D001249,marker/mechanism,34774659|35481609
ambroxol-theophylline-7-acetate,C077110,,Asthma,MESH:D001249,therapeutic,17455344
Amides,D000577,,Asthma,MESH:D001249,marker/mechanism,9236499
Aminophylline,D000628,317-34-0,Asthma,MESH:D001249,therapeutic,1424400|15645133|1572199|17130682|2658694|3898925|4047061|4430301|6343341
Anti-Asthmatic Agents,D018927,,Asthma,MESH:D001249,therapeutic,16425660
"Antigens, Bacterial",D000942,,Asthma,MESH:D001249,marker/mechanism,18391481|29067999
"Antigens, Dermatophagoides",D039741,,Asthma,MESH:D001249,marker/mechanism,29067999|29792201|31751647|33170220|36610671
"Anti-Inflammatory Agents, Non-Steroidal",D000894,,Asthma,MESH:D001249,marker/mechanism,11476468
apaflurane,C094049,431-89-0,Asthma,MESH:D001249,therapeutic,22221427
Arsenic,D001151,7440-38-2,Asthma,MESH:D001249,marker/mechanism,24062297
Arsenic Trioxide,D000077237,1327-53-3,Asthma,MESH:D001249,therapeutic,23210436
Artesunate,D000077332,,Asthma,MESH:D001249,therapeutic,26340163
Aspirin,D001241,50-78-2,Asthma,MESH:D001249,marker/mechanism,1751016|3539408
bambuterol,C047766,81732-65-2,Asthma,MESH:D001249,therapeutic,8112441
Beclomethasone,D001507,4419-39-0,Asthma,MESH:D001249,therapeutic,10075616|10322818|10347961|10513351|10588598|10639760|10764315|10813552|10983617|11379808|11379810|11393418|11422148|11449530|11527250|11555383|11559968|11758890|11980116|12114351|12153692|12166584|12360108|12449158|12449667|12464949|12489251|12587966|1443864|15025036|16270722|16509916|16973987|17564282|17872493|18430318|21762500|22221427|22357130|23512537|2844548|6958474|7148765|7312482|7437783|7540862|8111605|81404|8534483|8694041|8762487|8874658|9203805|9385125|9657561|9700034
Benzo(a)pyrene,D001564,50-32-8,Asthma,MESH:D001249,marker/mechanism,28807506
Benzofurans,D001572,,Asthma,MESH:D001249,therapeutic,30696844
beta-Glucans,D047071,,Asthma,MESH:D001249,marker/mechanism,24905346
bisphenol A,C006780,80-05-7,Asthma,MESH:D001249,marker/mechanism,31906378
bisphenol A glucuronide,C512161,,Asthma,MESH:D001249,marker/mechanism,29411558
bitolterol,C011685,30392-40-6,Asthma,MESH:D001249,therapeutic,3968329
brevetoxin,C053342,98225-48-0,Asthma,MESH:D001249,marker/mechanism,19654919
Bronchodilator Agents,D001993,,Asthma,MESH:D001249,therapeutic,10069892|7443604
Budesonide,D019819,51333-22-3,Asthma,MESH:D001249,therapeutic,10347961|10400838|10806605|10893010|10894975|11555383|11694816|12113382|12604023|14641354|15136378|15341026|15572850|18489783|20004779|22607479|6958474|9701427
butylate,C023898,2008-41-5,Asthma,MESH:D001249,marker/mechanism,23670403
butylbenzyl phthalate,C027561,85-68-7,Asthma,MESH:D001249,marker/mechanism,28392331
Cadmium,D002104,7440-43-9,Asthma,MESH:D001249,marker/mechanism,30998937
Captan,D002215,133-06-2,Asthma,MESH:D001249,marker/mechanism,19541724
Carbamates,D002219,,Asthma,MESH:D001249,marker/mechanism,17932376
Carbaryl,D012721,63-25-2,Asthma,MESH:D001249,marker/mechanism,17932376
Carbimazole,D002231,22232-54-8,Asthma,MESH:D001249,therapeutic,3968675
Carbon,D002244,7440-44-0,Asthma,MESH:D001249,marker/mechanism,37162236
Carbon Disulfide,D002246,75-15-0,Asthma,MESH:D001249,marker/mechanism,19541724
Carbon Monoxide,D002248,630-08-0,Asthma,MESH:D001249,marker/mechanism,20123607
Carbon Tetrachloride,D002251,56-23-5,Asthma,MESH:D001249,marker/mechanism,19541724
Chlordan,D002706,12789-03-6,Asthma,MESH:D001249,marker/mechanism,19541724
Chromates,D002840,,Asthma,MESH:D001249,marker/mechanism,8687243
Cilomilast,C433247,,Asthma,MESH:D001249,therapeutic,16956605
Cocaine,D003042,50-36-2,Asthma,MESH:D001249,marker/mechanism,10425061|12218880
Coloring Agents,D004396,,Asthma,MESH:D001249,marker/mechanism,18403863
"Contraceptives, Oral",D003276,,Asthma,MESH:D001249,marker/mechanism,25250096
Coumaphos,D003372,56-72-4,Asthma,MESH:D001249,marker/mechanism,17932376|19541724
Cromolyn Sodium,D004205,15826-37-6,Asthma,MESH:D001249,therapeutic,7437783
curdlan,C038459,54724-00-4,Asthma,MESH:D001249,marker/mechanism,23543010
Cyclic AMP,D000242,60-92-4,Asthma,MESH:D001249,therapeutic,6327346
cysteinyl-leukotriene,C112381,,Asthma,MESH:D001249,marker/mechanism,1673495
DDT,D003634,50-29-3,Asthma,MESH:D001249,marker/mechanism,17932376|19541724
Decitabine,D000077209,2353-33-5,Asthma,MESH:D001249,therapeutic,23423710
Dexamethasone,D003907,50-02-2,Asthma,MESH:D001249,marker/mechanism,16740865
Dexamethasone,D003907,50-02-2,Asthma,MESH:D001249,therapeutic,15330010|16569937|23210436|31751647
Dextromethorphan,D003915,125-71-3,Asthma,MESH:D001249,marker/mechanism,6375709
Diazinon,D003976,333-41-5,Asthma,MESH:D001249,marker/mechanism,19541724
Dietary Fats,D004041,,Asthma,MESH:D001249,marker/mechanism,36547818
Dinitrofluorobenzene,D004139,70-34-8,Asthma,MESH:D001249,marker/mechanism,27216000
doqualast,C051309,64019-03-0,Asthma,MESH:D001249,therapeutic,2434109
doxofylline,C029797,69975-86-6,Asthma,MESH:D001249,therapeutic,11951074
"Drugs, Chinese Herbal",D004365,,Asthma,MESH:D001249,therapeutic,10322818|11783231|16981460|19363516|31751647
Dust,D004391,,Asthma,MESH:D001249,marker/mechanism,17578863|19337513|27518660
Emodin,D004642,518-82-1,Asthma,MESH:D001249,therapeutic,22484343
Endotoxins,D004731,,Asthma,MESH:D001249,marker/mechanism,27518660|32212084
enprofylline,C034347,41078-02-8,Asthma,MESH:D001249,therapeutic,3523664|3582466|6386511
Ephedrine,D004809,299-42-3,Asthma,MESH:D001249,therapeutic,208429
epigallocatechin gallate,C045651,989-51-5,Asthma,MESH:D001249,therapeutic,16516891
Epinephrine,D004837,51-43-4,Asthma,MESH:D001249,therapeutic,1572199|16713785|17087335|6435488|6787217|7211775|7235434
EPTC,C036251,759-94-4,Asthma,MESH:D001249,marker/mechanism,19541724
Ethylene Dibromide,D015946,106-93-4,Asthma,MESH:D001249,marker/mechanism,19541724
Fenoterol,D005280,13392-18-2,Asthma,MESH:D001249,therapeutic,2951826|6248395|8968295
Fleroxacin,D016576,79660-72-3,Asthma,MESH:D001249,marker/mechanism,9145823
flunisolide,C007734,,Asthma,MESH:D001249,therapeutic,16696591
Fluticasone,D000068298,,Asthma,MESH:D001249,therapeutic,11101185|11379810|11555383|11559968|11596838|11991558|22607479|23548184|9700034
Fluticasone-Salmeterol Drug Combination,D000068297,,Asthma,MESH:D001249,therapeutic,17654129
Food Coloring Agents,D005505,,Asthma,MESH:D001249,marker/mechanism,2736427
Food Preservatives,D005520,,Asthma,MESH:D001249,marker/mechanism,2736427
Formaldehyde,D005557,50-00-0,Asthma,MESH:D001249,marker/mechanism,11519088|12212974|17002712|17594875|23671638
Formoterol Fumarate,D000068759,,Asthma,MESH:D001249,therapeutic,10967152|12113382|1443864|18023335|21762500|22221427|22357130|22607479|9759798
FPS-ZM1,C572629,,Asthma,MESH:D001249,therapeutic,33075463
FR 173657,C105311,,Asthma,MESH:D001249,therapeutic,12706475
"Fungicides, Industrial",D005659,,Asthma,MESH:D001249,marker/mechanism,17932376
gamma-Tocopherol,D024504,,Asthma,MESH:D001249,therapeutic,17854713
geraniol,C007836,624-15-7,Asthma,MESH:D001249,therapeutic,27117312
Glucocorticoids,D005938,,Asthma,MESH:D001249,therapeutic,11344349|14641354|3058451
Glutathione,D005978,70-18-8,Asthma,MESH:D001249,marker/mechanism,22867017
Glycopyrrolate,D006024,596-51-0,Asthma,MESH:D001249,therapeutic,3392363
Glyphosate,D000097797,,Asthma,MESH:D001249,marker/mechanism,17932376
Guaifenesin,D006140,93-14-1,Asthma,MESH:D001249,therapeutic,16197601
Halothane,D006221,151-67-7,Asthma,MESH:D001249,therapeutic,11782125
Heparin,D006493,9005-49-6,Asthma,MESH:D001249,therapeutic,19467809|9235556
Heptachlor,D006533,76-44-8,Asthma,MESH:D001249,marker/mechanism,19541724
Herbicides,D006540,,Asthma,MESH:D001249,marker/mechanism,15121522|19541724
Heroin,D003932,,Asthma,MESH:D001249,marker/mechanism,12576374
Hexachlorocyclohexane,D001556,,Asthma,MESH:D001249,marker/mechanism,19541724
Histamine,D006632,51-45-6,Asthma,MESH:D001249,marker/mechanism,16344897|16387687|19363516
"Hydrocarbons, Chlorinated",D006843,,Asthma,MESH:D001249,marker/mechanism,17932376
Hydrocortisone,D006854,50-23-7,Asthma,MESH:D001249,therapeutic,15090754|3750249
Hydrogen Sulfide,D006862,04-06-7783,Asthma,MESH:D001249,marker/mechanism,22357138
Ibuprofen,D007052,15687-27-1,Asthma,MESH:D001249,marker/mechanism,7550206
Ipratropium,D009241,60205-81-4,Asthma,MESH:D001249,therapeutic,11142280|12355682|18225795|2527421|2936370|2947461|2951826
Isoproterenol,D007545,7683-59-2,Asthma,MESH:D001249,therapeutic,1572199|2878599|4921234|6435488
Ketoprofen,D007660,22071-15-4,Asthma,MESH:D001249,marker/mechanism,11300144
Ketotifen,D007665,34580-13-7,Asthma,MESH:D001249,therapeutic,1479763
Lansoprazole,D064747,,Asthma,MESH:D001249,therapeutic,16778364
Leukotriene Antagonists,D020024,,Asthma,MESH:D001249,therapeutic,10922144|19195196
Leukotriene B4,D007975,71160-24-2,Asthma,MESH:D001249,marker/mechanism,11006272|19667530
Leukotriene C4,D017997,72025-60-6,Asthma,MESH:D001249,marker/mechanism,12816731
Leukotriene D4,D017998,73836-78-9,Asthma,MESH:D001249,marker/mechanism,8222486|9690572
Leukotrienes,D015289,,Asthma,MESH:D001249,marker/mechanism,8303624
LGM2605,C000630836,,Asthma,MESH:D001249,therapeutic,31627909
Lipid Peroxides,D008054,,Asthma,MESH:D001249,marker/mechanism,10921764
Loratadine,D017336,79794-75-5,Asthma,MESH:D001249,therapeutic,9196086
Malathion,D008294,121-75-5,Asthma,MESH:D001249,marker/mechanism,17932376|19541724
Mercury,D008628,7439-97-6,Asthma,MESH:D001249,marker/mechanism,20562055
Metaproterenol,D009921,586-06-1,Asthma,MESH:D001249,therapeutic,3513564|3794877|6343341
Methacholine Chloride,D016210,62-51-1,Asthma,MESH:D001249,marker/mechanism,22484343|31627909|6435488
Methotrexate,D008727,59-05-2,Asthma,MESH:D001249,therapeutic,1450620|1557242
Methylprednisolone,D008775,83-43-2,Asthma,MESH:D001249,therapeutic,17087335|2721092|8538677
methylxanthine,C008514,28109-92-4,Asthma,MESH:D001249,therapeutic,7915431
Metoclopramide,D008787,364-62-5,Asthma,MESH:D001249,marker/mechanism,12604014
Mometasone Furoate,D000068656,,Asthma,MESH:D001249,therapeutic,19441609
montelukast,C093875,,Asthma,MESH:D001249,therapeutic,10075616|10588598|10852428|10922144|11167954|11422148|12464949|16293801|17895592|17943569|19667530|19681236|20332717|22059882|30696844
Mustard Gas,D009151,505-60-2,Asthma,MESH:D001249,marker/mechanism,10378619
Nedocromil,D017835,69049-73-6,Asthma,MESH:D001249,therapeutic,1329582
Neuromuscular Blocking Agents,D009466,,Asthma,MESH:D001249,therapeutic,10378560
Nicardipine,D009529,55985-32-5,Asthma,MESH:D001249,therapeutic,2413722
Nifedipine,D009543,21829-25-4,Asthma,MESH:D001249,therapeutic,6364879
Nitrates,D009566,,Asthma,MESH:D001249,marker/mechanism,32816747|37162236
Nitric Oxide,D009569,10102-43-9,Asthma,MESH:D001249,marker/mechanism,16696591|16981460|20123607
Nitrogen Dioxide,D009585,10102-44-0,Asthma,MESH:D001249,marker/mechanism,17903240|18941591|20049212|22357138|22763046|24659182|25012280|26731790|26996571|37162236
Nitrogen Oxides,D009589,,Asthma,MESH:D001249,marker/mechanism,37162236
Organophosphates,D010755,,Asthma,MESH:D001249,marker/mechanism,17932376
Ovalbumin,D010047,9006-59-1,Asthma,MESH:D001249,marker/mechanism,22484343|27117312|28392331|29067999|29545090|30696844|30969813|32012983|33146439|33640443|34146326|34152691|34285515|34537180|34774659|35335934|35481609|35982617|36457260|36547818|37004399
ovalbumin-alum,C446402,,Asthma,MESH:D001249,marker/mechanism,27884791|29540228|29724254
oxitropium,C017590,30286-75-0,Asthma,MESH:D001249,therapeutic,3074291
Ozone,D010126,10028-15-6,Asthma,MESH:D001249,marker/mechanism,16373670|17854713|18795172|23434795|25012280|26647366|26731790|31627909|34285515
Paraquat,D010269,4685-14-7,Asthma,MESH:D001249,marker/mechanism,19541724
Parathion,D010278,56-38-2,Asthma,MESH:D001249,marker/mechanism,17932376|19541724
Particulate Matter,D052638,,Asthma,MESH:D001249,marker/mechanism,15121522|16425660|18795172|19270802|19337525|20123607|20667130|24117884|24365139|25491235|26452298|26731790|26734713|27385358|29540228|31941512|32816747|34774659|35335934|37162236
pendimethalin,C030856,40487-42-1,Asthma,MESH:D001249,marker/mechanism,23670403
perfluoro-n-nonanoic acid,C101816,375-95-1,Asthma,MESH:D001249,marker/mechanism,31730470
perfluorooctane sulfonic acid,C076994,1763-23-1,Asthma,MESH:D001249,marker/mechanism,32485600
Permethrin,D026023,52645-53-1,Asthma,MESH:D001249,marker/mechanism,17932376
Pesticides,D010575,,Asthma,MESH:D001249,marker/mechanism,15121522|17932376|7808348
phenanthrene,C031181,85-01-8,Asthma,MESH:D001249,marker/mechanism,24407477
Phenobarbital,D010634,50-06-6,Asthma,MESH:D001249,therapeutic,208429
Phorate,D010702,298-02-2,Asthma,MESH:D001249,marker/mechanism,17932376|19541724
"phosphatidylinositol 3,4-diphosphate",C060980,,Asthma,MESH:D001249,marker/mechanism,22986054
Phosphodiesterase 4 Inhibitors,D058988,,Asthma,MESH:D001249,therapeutic,17569694
phthalic anhydride,C043103,85-44-9,Asthma,MESH:D001249,marker/mechanism,3681491
Plant Preparations,D028321,,Asthma,MESH:D001249,therapeutic,15330010
Platelet Activating Factor,D010972,,Asthma,MESH:D001249,marker/mechanism,32830409|8833165
Polychlorinated Biphenyls,D011078,,Asthma,MESH:D001249,marker/mechanism,22326254
Polycyclic Aromatic Hydrocarbons,D011084,,Asthma,MESH:D001249,marker/mechanism,33972693
"polymeric 4,4'-diphenylmethane diisocyanate",C087867,,Asthma,MESH:D001249,marker/mechanism,21237241
pranlukast,C047681,,Asthma,MESH:D001249,therapeutic,10069892|11393418|11527250|12153692|12360108|12489251|14584388|14650364|16270722|18430318|20332717|9071168|9303339|9513583
Prednisolone,D011239,50-24-8,Asthma,MESH:D001249,therapeutic,10069892|10639760|11968751|12171842|17477857|7443604
Prednisone,D011241,53-03-2,Asthma,MESH:D001249,therapeutic,10199381|11799343|12171842|18717146|3393124|3944744|5025095|7235434
Procaterol,D017265,72332-33-3,Asthma,MESH:D001249,therapeutic,2933998|2974263
Propranolol,D011433,525-66-6,Asthma,MESH:D001249,therapeutic,8687243
