Pathway ID,Pathway Name,k (input hits),K (pathway size),p-value,Compound IDs,FDR (BH),Significant,-log10(FDR)
path:map04976,Bile secretion,15,97,7.401767100821546e-14,C00051;C00575;C00735;C00805;C01405;C01576;C01937;C01996;C02165;C02166;C05551;C06804;C06999;C07394;C11231,1.6876028989873124e-11,True,10.772729737252522
path:map04080,Neuroactive ligand-receptor interaction,10,53,1.5232566906680572e-10,C00212;C00245;C00388;C00547;C00735;C00788;C01996;C02165;C02166;C05951,1.7365126273615853e-08,True,7.760322054291878
path:map05207,Chemical carcinogenesis - receptor activation,8,29,4.1593570226989717e-10,C00547;C00575;C00745;C00788;C04623;C07434;C07535;C13624,3.1611113372512183e-08,True,7.5001602076396034
path:map04924,Renin secretion,5,17,6.414486302520551e-07,C00212;C00533;C00547;C00575;C00788,3.6562571924367145e-05,True,4.4369632622469055
path:map02020,Two-component system,7,56,1.7612001379516224e-06,C00007;C00237;C00244;C00533;C00547;C00788;C06689,8.031072629059399e-05,True,4.095226446530574
path:map04261,Adrenergic signaling in cardiomyocytes,4,10,2.2560515123852265e-06,C00547;C00575;C00788;C07056,8.572995747063861e-05,True,4.066867391720269
path:map04082,Neuroactive ligand signaling,6,40,3.3202189323872894e-06,C00212;C00388;C00547;C00575;C00788;C01996,0.00010814427379775743,True,3.965996471360111
path:map04024,cAMP signaling pathway,5,25,5.147963904779238e-06,C00212;C00547;C00575;C00788;C01996,0.0001467169712862083,True,3.8335196468271584
path:map04923,Regulation of lipolysis in adipocytes,4,14,1.0408919052464845e-05,C00212;C00547;C00575;C00788,0.00024776024272000265,True,3.605968382191526
path:map05310,Asthma,3,5,1.0866677312280818e-05,C00388;C02166;C05951,0.00024776024272000265,True,3.605968382191526
path:map05200,Pathways in cancer,5,31,1.565171307231719e-05,C00533;C00575;C00735;C00777;C01471,0.00032441732549893815,True,3.4888959603558813
path:map04270,Vascular smooth muscle contraction,4,16,1.861959786076203e-05,C00212;C00533;C00547;C00575,0.00035377235935447855,True,3.4512761020333174
path:map04970,Salivary secretion,4,17,2.415133608553432e-05,C00533;C00547;C00575;C01996,0.00042357727903860197,True,3.37306734377892
path:map04750,Inflammatory mediator regulation of TRP channels,5,35,2.8914129496553584e-05,C00388;C00575;C02165;C06866;C09844,0.00047088725180101555,True,3.3270830669312765
path:map04211,Longevity regulating pathway,3,8,5.946618978684236e-05,C00575;C03582;C07909,0.0009038860847600039,True,3.0438862994776104
path:map02010,ABC transporters,8,138,9.813656789083012e-05,C00051;C00212;C00244;C00245;C00338;C00719;C05349;C07663,0.0013984460924443291,True,2.8543542702328866
path:map05332,Graft-versus-host disease,2,2,0.00010735781617497268,C00338;C00533,0.0014398577698761042,True,2.841680405688568
path:map04022,cGMP-PKG signaling pathway,3,10,0.00012548587275990644,C00212;C00533;C00575,0.0015058304731188773,True,2.822223918396401
path:map05133,Pertussis,3,10,0.00012548587275990644,C00253;C00338;C00575,0.0015058304731188773,True,2.822223918396401
path:map01120,Microbial metabolism in diverse environments,26,1153,0.00015610484469401136,C00067;C00084;C00237;C00244;C00253;C00283;C00533;C00745;C00805;C03664;C04623;C06551;C06604;C06988;C07083;C07092;C07130;C07481;C07535;C09871;C11249;C11422;C13624;C13747;C14335;C14519,0.001774507544271227,True,2.7509221499211227
path:map04540,Gap junction,3,11,0.0001712244121665219,C00533;C00547;C00575,0.001774507544271227,True,2.7509221499211227
path:map04664,Fc epsilon RI signaling pathway,3,11,0.0001712244121665219,C00388;C02166;C05951,0.001774507544271227,True,2.7509221499211227
