# ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,PubMedIDs
PNEUMONIA (205 compounds),,,,,,
14-hydroxydocosahexaenoic acid,C059528,86360-66-9,Pneumonia,MESH:D011014,therapeutic,34601004
"1,5-anhydrofructose",C048927,75414-43-6,Pneumonia,MESH:D011014,therapeutic,19559007
"17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid",C062894,90780-52-2,Pneumonia,MESH:D011014,therapeutic,34601004
18(R)-hydroxyeicosapentaenoic acid,C561691,,Pneumonia,MESH:D011014,therapeutic,34601004
"2,4-Dichlorophenoxyacetic Acid",D015084,94-75-7,Pneumonia,MESH:D011014,marker/mechanism,33865415
2-chloroethyl ethyl sulfide,C031278,693-07-2,Pneumonia,MESH:D011014,marker/mechanism,19464336|32157350
2-oxothiazolidine-4-carboxylic acid,C029536,,Pneumonia,MESH:D011014,therapeutic,19560508
3-(pyridin-3-ylsulfonyl)-5-(trifluoromethyl)-2H-chromen-2-one,C000623021,,Pneumonia,MESH:D011014,therapeutic,28790194
"4-((3-bromophenyl)amino)-6,7-dimethoxyquinazoline",C088860,,Pneumonia,MESH:D011014,therapeutic,26464147
acetovanillone,C056165,498-02-2,Pneumonia,MESH:D011014,therapeutic,21983654
Acrolein,D000171,107-02-8,Pneumonia,MESH:D011014,marker/mechanism,36806656
Adrenal Cortex Hormones,D000305,,Pneumonia,MESH:D011014,therapeutic,12947150
Air Pollutants,D000393,,Pneumonia,MESH:D011014,marker/mechanism,18367723|34416640|36675130
Aluminum Oxide,D000537,1344-28-1,Pneumonia,MESH:D011014,marker/mechanism,19270794|22240982
aluminum oxide hydroxide,C069471,63957-70-0,Pneumonia,MESH:D011014,marker/mechanism,19428954
Aluminum Silicates,D000538,,Pneumonia,MESH:D011014,marker/mechanism,20368128
Amikacin,D000583,37517-28-5,Pneumonia,MESH:D011014,therapeutic,1108649|319355
Amiodarone,D000638,1951-25-3,Pneumonia,MESH:D011014,marker/mechanism,1595783|16131795|16858166|3997294|6409240|6861927|9855346
Amoxicillin-Potassium Clavulanate Combination,D019980,74469-00-4,Pneumonia,MESH:D011014,therapeutic,10369618|12501879|15328092|16446376|18028086
Amphotericin B,D000666,1397-89-3,Pneumonia,MESH:D011014,therapeutic,1357285|16538979
Ampicillin,D000667,69-53-4,Pneumonia,MESH:D011014,therapeutic,6637917|835515
angiotensin I (1-7),C118790,,Pneumonia,MESH:D011014,therapeutic,28960804
"Antigens, Dermatophagoides",D039741,,Pneumonia,MESH:D011014,marker/mechanism,24060272|24453940|36975775
Arsenic,D001151,7440-38-2,Pneumonia,MESH:D011014,marker/mechanism,26497043
Asbestos,D001194,1332-21-4,Pneumonia,MESH:D011014,marker/mechanism,21362472
"Asbestos, Amosite",D017639,12172-73-5,Pneumonia,MESH:D011014,marker/mechanism,21797767|22251266|27083413
"Asbestos, Amphibole",D017636,,Pneumonia,MESH:D011014,marker/mechanism,22168577|22251266|27083413
"Asbestos, Crocidolite",D017638,12001-28-4,Pneumonia,MESH:D011014,marker/mechanism,17849262
"Asbestos, Serpentine",D017632,,Pneumonia,MESH:D011014,marker/mechanism,16266986|20368128|32755622
Azithromycin,D017963,83905-01-5,Pneumonia,MESH:D011014,therapeutic,10858333|16856707
bacampicillin,C011674,,Pneumonia,MESH:D011014,therapeutic,6352033
bisphenol A,C006780,80-05-7,Pneumonia,MESH:D011014,marker/mechanism,28285737
Bleomycin,D001761,11056-06-7,Pneumonia,MESH:D011014,marker/mechanism,16317386|17071938|18024389|19362168|25071917|26600069|32828905|36087614|54212
Blood Glucose,D001786,,Pneumonia,MESH:D011014,marker/mechanism,25221900
BUCY-2 protocol,C071005,,Pneumonia,MESH:D011014,marker/mechanism,2025579
Butylated Hydroxytoluene,D002084,128-37-0,Pneumonia,MESH:D011014,marker/mechanism,11893704
Cadmium,D002104,7440-43-9,Pneumonia,MESH:D011014,marker/mechanism,22094458
Cadmium Chloride,D019256,10108-64-2,Pneumonia,MESH:D011014,marker/mechanism,20826145|39587603
Caffeine,D002110,58-08-2,Pneumonia,MESH:D011014,marker/mechanism,29055810
Calcium Sulfate,D002133,7778-18-9,Pneumonia,MESH:D011014,marker/mechanism,20368128
Capsaicin,D002211,404-86-4,Pneumonia,MESH:D011014,marker/mechanism,22575871
Carbenicillin,D002228,4697-36-3,Pneumonia,MESH:D011014,therapeutic,256433|4850936
Carboplatin,D016190,41575-94-4,Pneumonia,MESH:D011014,marker/mechanism,16612156
Carmustine,D002330,154-93-8,Pneumonia,MESH:D011014,marker/mechanism,6354414
cefditoren pivoxil,C057710,,Pneumonia,MESH:D011014,therapeutic,12501878|12501879
Cefixime,D020682,79350-37-1,Pneumonia,MESH:D011014,therapeutic,2041146
Cefotaxime,D002439,63527-52-6,Pneumonia,MESH:D011014,therapeutic,1583528|2041948
Cefpodoxime Proxetil,D000097627,,Pneumonia,MESH:D011014,therapeutic,12501878
Ceftazidime,D002442,78439-06-2,Pneumonia,MESH:D011014,therapeutic,21227004|3578331
Ceftriaxone,D002443,73384-59-5,Pneumonia,MESH:D011014,therapeutic,12642754|18444848|21166949|21227004
Cefuroxime,D002444,55268-75-2,Pneumonia,MESH:D011014,therapeutic,10858333|2041948
Cephalothin,D002512,153-61-7,Pneumonia,MESH:D011014,therapeutic,4850936
ceric oxide,C030583,1306-38-3,Pneumonia,MESH:D011014,marker/mechanism,22240982
Chloramphenicol,D002701,56-75-7,Pneumonia,MESH:D011014,marker/mechanism,4023934|6071896
Chloramphenicol,D002701,56-75-7,Pneumonia,MESH:D011014,therapeutic,2041948
"Cholesterol, Dietary",D002791,,Pneumonia,MESH:D011014,marker/mechanism,34601004
CHOP protocol,C034587,,Pneumonia,MESH:D011014,marker/mechanism,11732872
Cilostazol,D000077407,73963-72-1,Pneumonia,MESH:D011014,therapeutic,16645267
Ciprofloxacin,D002939,85721-33-1,Pneumonia,MESH:D011014,therapeutic,1541177|3555062|3578331
Cisplatin,D002945,15663-27-1,Pneumonia,MESH:D011014,marker/mechanism,21415776
Clarithromycin,D017291,81103-11-9,Pneumonia,MESH:D011014,therapeutic,12503933|17021990|20491717|9347384|9606474|9972380
Coal,D003031,,Pneumonia,MESH:D011014,marker/mechanism,19270797|26774687
Coal Ash,D060729,,Pneumonia,MESH:D011014,marker/mechanism,9710962
Cobalt,D003035,7440-48-4,Pneumonia,MESH:D011014,marker/mechanism,22198552
cobalt oxide,C060728,11104-61-3,Pneumonia,MESH:D011014,marker/mechanism,22240982
Cocaine,D003042,50-36-2,Pneumonia,MESH:D011014,marker/mechanism,16935692|19204526
Copper Sulfate,D019327,7758-98-7,Pneumonia,MESH:D011014,marker/mechanism,19679144
Crack Cocaine,D016578,,Pneumonia,MESH:D011014,marker/mechanism,12947150
Crizotinib,D000077547,,Pneumonia,MESH:D011014,marker/mechanism,23686600
cupric oxide,C030973,1317-38-0,Pneumonia,MESH:D011014,marker/mechanism,22240982
cyclocreatine,C012260,35404-50-3,Pneumonia,MESH:D011014,marker/mechanism,34411581
Cyclophosphamide,D003520,50-18-0,Pneumonia,MESH:D011014,marker/mechanism,2705179
Cytarabine,D003561,147-94-4,Pneumonia,MESH:D011014,marker/mechanism,12531223
Dantrolene,D003620,7261-97-4,Pneumonia,MESH:D011014,marker/mechanism,6736987
Dapsone,D003622,80-08-0,Pneumonia,MESH:D011014,marker/mechanism,19583683
Daunorubicin,D003630,20830-81-3,Pneumonia,MESH:D011014,marker/mechanism,12531223
Desipramine,D003891,50-47-5,Pneumonia,MESH:D011014,therapeutic,17477857
Dexamethasone,D003907,50-02-2,Pneumonia,MESH:D011014,therapeutic,10380089|21414392|37004399
didecyldimethylammonium,C027118,20256-56-8,Pneumonia,MESH:D011014,marker/mechanism,32763356
Dietary Fats,D004041,,Pneumonia,MESH:D011014,marker/mechanism,34601004
Diflunisal,D004061,22494-42-4,Pneumonia,MESH:D011014,marker/mechanism,9187209
Dipyrone,D004177,,Pneumonia,MESH:D011014,marker/mechanism,21429049
Docetaxel,D000077143,,Pneumonia,MESH:D011014,marker/mechanism,12365019|21415776
Doxycycline,D004318,564-25-0,Pneumonia,MESH:D011014,therapeutic,9145823
Dronabinol,D013759,,Pneumonia,MESH:D011014,therapeutic,32872332
Dust,D004391,,Pneumonia,MESH:D011014,marker/mechanism,24376072|26774687|26882889|32777237
Enalapril,D004656,75847-73-3,Pneumonia,MESH:D011014,therapeutic,19114890
"endotoxin, Escherichia coli",C044101,67924-63-4,Pneumonia,MESH:D011014,marker/mechanism,19114890
Enoxacin,D015365,74011-58-8,Pneumonia,MESH:D011014,therapeutic,3258863
"enterotoxin B, staphylococcal",C031818,39424-53-8,Pneumonia,MESH:D011014,marker/mechanism,32872332
